GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gas-workshop,com.naturgy.gas,GasApplication,5,3,0,0,2,1,1,1,1,1
gas-workshop,com.naturgy.gas.entity,GasReading.GasReadingId,57,12,8,0,9,5,10,2,6,2
gas-workshop,com.naturgy.gas.entity,SupplyPoint.EstadoEnum,0,15,0,0,0,1,0,1,0,1
gas-workshop,com.naturgy.gas.entity,GasReading,36,22,4,0,7,7,9,3,7,3
gas-workshop,com.naturgy.gas.entity,Invoice,36,70,0,0,9,22,9,12,9,12
gas-workshop,com.naturgy.gas.entity,GasConversionFactor,25,24,0,0,7,9,7,4,7,4
gas-workshop,com.naturgy.gas.entity,GasTariff,25,24,0,0,7,9,7,4,7,4
gas-workshop,com.naturgy.gas.entity,TaxConfig,21,18,0,0,6,7,6,3,6,3
gas-workshop,com.naturgy.gas.entity,SupplyPoint,19,27,0,0,5,10,5,5,5,5
gas-workshop,com.naturgy.gas.entity,InvoiceLine,33,36,0,0,9,13,9,6,9,6
gas-workshop,com.naturgy.gas.entity,GasReading.TipoEnum,0,15,0,0,0,1,0,1,0,1
gas-workshop,com.naturgy.gas.entity,InvoiceLine.TipoLineaEnum,0,27,0,0,0,1,0,1,0,1
gas-workshop,com.naturgy.gas.controller,SupplyPointController,93,6,10,0,17,3,11,1,6,1
gas-workshop,com.naturgy.gas.controller,CreateReadingRequest,46,0,0,0,15,0,10,0,10,0
gas-workshop,com.naturgy.gas.controller,InvoiceController,98,9,6,0,20,4,9,1,6,1
gas-workshop,com.naturgy.gas.controller,GasConversionFactorController,113,6,8,0,20,3,11,1,7,1
gas-workshop,com.naturgy.gas.controller,TaxConfigController,114,6,10,0,20,3,12,1,7,1
gas-workshop,com.naturgy.gas.controller,GlobalExceptionHandler,35,3,2,0,6,1,5,1,4,1
gas-workshop,com.naturgy.gas.controller,GasReadingController,384,6,34,0,86,3,24,1,7,1
gas-workshop,com.naturgy.gas.controller,BillingController,18,6,0,0,4,3,1,1,1,1
gas-workshop,com.naturgy.gas.controller,GasTariffController,133,6,12,0,24,3,12,1,6,1
gas-workshop,com.naturgy.gas.service,InvoicePdfService,18,438,3,5,2,97,3,7,0,6
gas-workshop,com.naturgy.gas.service,BillingService.BillingResult,0,9,0,0,0,1,0,1,0,1
gas-workshop,com.naturgy.gas.service,BillingService,153,357,7,11,23,71,7,5,0,3
gas-workshop,com.naturgy.gas.seed,SeedService,206,628,43,39,41,147,36,14,0,9
